id,Formule,BG,IM,CA,a,b,c,alpha,beta,gamma
mp-10226,NaYS2,2.2635,False,11879.041046585751,3.975520649188188,3.975520649188188,19.80257934697099,90.0,90.0,120.0
mp-10322,BaHfN2,1.2537000000000005,False,98647.84265207368,4.13241419,4.13241419,8.42759229,90.0,90.0,90.0
mp-10401,Tl2SnF6,4.2962,False,1824.1406436985576,6.006421216027281,6.006421216027281,4.80758079,90.0,90.0,120.0
mp-10402,TiTl2F6,3.8846,False,2382.521311431463,5.919080258390827,5.919080258390827,4.76418862,90.0,90.0,120.0
mp-10408,K2CN2,3.1433,False,2110.169118656582,5.770837322111839,5.6785405361338,5.770783143801709,90.0,108.45901431386756,90.0
mp-10485,BaLiSb,0.6946999999999997,False,541176.5219216924,4.940407598328941,4.940407598328941,9.18028967,90.0,90.0,120.0
mp-10572,NaPN2,4.6812000000000005,False,1708.1121121040346,4.947436840674604,4.947436840674604,6.962243147116519,90.0,90.0,90.0
mp-10616,BaLiAs,0.5928,False,348074.60451586853,4.532278736656025,4.532278736656025,4.60523575,90.0,90.0,120.0
mp-10623,ThSbRh,0.7438000000000002,False,396908.8123427316,6.707204948115119,6.707204948115119,6.707204948115119,90.0,90.0,90.0
mp-10748,TaCu3S4,1.9231000000000005,False,102436.11892711744,5.486557430000001,5.486557430000001,5.486557430000001,90.0,90.0,90.0
mp-10778,RbPrSe2,1.8997,False,97526.63987317296,4.399986695589729,4.399986695589729,23.914510331226023,90.0,90.0,120.0
mp-10779,RbNdSe2,1.8958,False,90690.03368168756,4.3678276055337175,4.3678276055337175,23.90189253752534,90.0,90.0,120.0
mp-10781,RbGdSe2,1.0338999999999998,False,105540.61636217248,4.271940981679391,4.271940981679391,23.825984588809533,90.0,90.0,120.0
mp-10782,RbTbSe2,1.9336,False,35918.20763789332,4.239960061190024,4.239960061190024,23.813682097575263,90.0,90.0,120.0
mp-10783,RbHoSe2,1.9587,False,27987.902479973294,4.201311853103307,4.201311853103307,23.805510614365897,90.0,90.0,120.0
mp-10784,RbErSe2,1.9769,False,25303.66636096543,4.183343916535888,4.183343916535888,23.7983671275726,90.0,90.0,120.0
mp-10785,RbLuSe2,2.0299,False,21024.230797065957,4.13626046788912,4.13626046788912,23.771646574433746,90.0,90.0,120.0
mp-10919,Rb2PtC2,1.1362,False,261816.08098799756,5.405893506952568,5.405893506952568,5.20080089,90.0,90.0,120.0
mp-10930,TbSF,1.2587000000000002,False,32223.442112569577,3.78629042,3.78629042,6.82317797,90.0,90.0,90.0
mp-10931,HoSF,1.2996,False,31274.60464205671,3.74383227,3.74383227,6.78733651,90.0,90.0,90.0
mp-10933,Nd2TeS2,1.5871,False,123869.02185353589,4.649965045825805,4.649965045825805,7.77389009,90.0,90.0,120.0
mp-10969,CdCN2,2.3076,False,5614.9230122845,3.556742204433108,3.556742204433108,14.579926417270276,90.0,90.0,120.0
mp-1022,K2S,2.3201,False,20112.421519871445,7.41387892258685,7.41387892258685,7.41387892258685,90.0,90.0,90.0
mp-1039,MgTe,2.3612,False,22842.98216661997,4.590202539375506,4.590202539375506,7.43780571,90.0,90.0,120.0
mp-1087,SrS,2.497,False,8017.255570936087,6.0480334773227975,6.0480334773227975,6.0480334773227975,90.0,90.0,90.0
mp-1105,BaO2,2.2352,False,2518.01562928497,3.8380148229466498,3.8380148229466498,6.898199266733667,90.0,90.0,90.0
mp-1115,PtSe2,0.6193,False,608507.3398503886,3.7173065480242062,3.7173065480242062,5.82007402,90.0,90.0,120.0
mp-1153,Li2S,3.3862000000000005,False,2778.030440298709,5.670335685713675,5.670335685713675,5.670335685713675,90.0,90.0,90.0
mp-1170,SnS2,1.5147999999999997,False,57142.15933398699,3.674305600569976,3.674305600569976,6.22883184,90.0,90.0,120.0
mp-1190,ZnSe,1.1663,False,83248.3710616367,5.664885081390604,5.664885081390604,5.664885081390604,90.0,90.0,90.0
mp-1224,HgO,1.1867,False,63225.39200997923,3.58509138,5.56420636,6.69606078,90.0,90.0,90.0
mp-1265,MgO,4.4292,False,1000.3129736614528,4.19400278535224,4.19400278535224,4.19400278535224,90.0,90.0,90.0
mp-1266,Na2Se,2.0153,False,70067.0174791174,6.759551156983516,6.759551156983516,6.759551156983516,90.0,90.0,90.0
mp-1315,MgS,2.7574,False,4272.297077896137,5.208795111220911,5.208795111220911,5.208795111220911,90.0,90.0,90.0
mp-1342,BaO,2.0906,False,51618.28338660007,5.580783419036325,5.580783419036325,5.580783419036325,90.0,90.0,90.0
mp-1415,CaSe,2.0728000000000004,False,11530.258802301702,5.940476210343394,5.940476210343394,5.940476210343394,90.0,90.0,90.0
mp-1479,BP,1.2434999999999992,False,8184.513933873101,4.532144769089332,4.532144769089332,4.532144769089332,90.0,90.0,90.0
mp-1500,BaS,2.1488,False,51310.029329953926,6.451351236011469,6.451351236011469,6.451351236011469,90.0,90.0,90.0
mp-1519,CaTe,1.5535,False,38468.49687839703,6.391708758054385,6.391708758054385,6.391708758054385,90.0,90.0,90.0
mp-1522,FeS2,0.8770000000000007,False,699489.8187113239,3.37769817,4.42562487,5.39652822,90.0,90.0,90.0
mp-1541,BeSe,2.6636999999999995,False,4356.541193094771,5.167937476362056,5.167937476362056,5.167937476362056,90.0,90.0,90.0
mp-1550,AlP,1.6294000000000004,False,13895.173518138943,5.472967426017369,5.472967426017369,5.472967426017369,90.0,90.0,90.0
mp-1569,Be2C,1.1636999999999995,False,3457.1170222439164,4.324511945749077,4.324511945749077,4.324511945749077,90.0,90.0,90.0
mp-1572,GaSe,1.2405999999999997,False,76025.32966510674,3.773436731732547,3.773436731732547,16.52079197,90.0,90.0,120.0
mp-1591,Al4C3,1.3154000000000003,False,12390.161171835627,3.3330319433644853,3.3330319433644853,24.915625668909783,90.0,90.0,120.0
mp-1672,CaS,2.3819,False,7292.231318288678,5.704748583424641,5.704748583424641,5.704748583424641,90.0,90.0,90.0
mp-1747,K2Te,2.141,False,72126.33369519562,8.182375931826074,8.182375931826074,8.182375931826074,90.0,90.0,90.0
mp-1776,UN2,0.6927000000000003,False,651612.5436165184,5.261712590768087,5.261712590768087,5.261712590768087,90.0,90.0,90.0
mp-1821,WSe2,1.4465,False,324073.6781761412,3.3199329218010143,3.3199329218010143,13.7371873,90.0,90.0,120.0
mp-1852,UF5,0.7455999999999999,False,1574.2422151416874,6.416870207111135,6.416870207111135,4.477941568451381,90.0,90.0,90.0
mp-1873,ZnF2,3.4592,False,807.5215541407232,4.70294417,4.70294417,3.13289021,90.0,90.0,90.0
mp-1883,SnTe,0.0419,False,1216661.471412963,6.371626132571059,6.371626132571059,6.371626132571059,90.0,90.0,90.0
mp-1958,SrTe,1.7616,False,62828.64608724197,6.711670620839228,6.711670620839228,6.711670620839228,90.0,90.0,90.0
mp-1960,Li2O,4.8986,False,1047.5785165989896,4.653708763836069,4.653708763836069,4.653708763836069,90.0,90.0,90.0
mp-11019,GaCuO2,0.7812999999999999,False,40496.99599969608,2.971853523119563,2.971853523119563,11.44881994,90.0,90.0,120.0
mp-11020,GaAgO2,0.5832999999999999,False,32653.733168563347,2.9906166992273104,2.9906166992273104,12.42136296,90.0,90.0,120.0
mp-11022,ScAgO2,2.1264000000000003,False,14370.311005410524,3.2114229286275666,3.2114229286275666,12.40930025,90.0,90.0,120.0
mp-11107,Ac2O3,3.5226,False,2488.423086003315,4.095488002164615,4.095488002164615,6.29988201,90.0,90.0,120.0
mp-11147,Na5CuSO2,1.5205,False,42921.30595675817,4.577351,4.577351,8.207251,90.0,90.0,90.0
mp-11178,SrCeN2,1.2679999999999998,False,310580.772128098,3.639646607613101,3.639646607613101,17.964927969452294,90.0,90.0,120.0
mp-11327,Rb2Se,1.7968,False,52956.80485960386,8.057712764073448,8.057712764073448,8.057712764073448,90.0,90.0,90.0
mp-11739,KLaTe2,1.7012999999999994,False,287475.6701352742,4.709378486002885,4.709378486002885,24.56341119116668,90.0,90.0,120.0
mp-11740,KNdTe2,1.2648,False,328030.07589126733,4.620797928443806,4.620797928443806,24.597035925004164,90.0,90.0,120.0
mp-11775,RbUO3,0.4542000000000001,False,15016.3587292323,4.328371596666666,4.328371596666666,4.328371596666666,90.0,90.0,90.0
mp-12317,SrCN2,3.2056,False,2224.396583595816,3.978757351075687,3.978757351075687,15.108780924252574,90.0,90.0,120.0
mp-12442,KAuF6,2.1117,False,32954.09362690449,7.554441848936402,7.554441848936402,7.211647041672181,90.0,90.0,120.0
mp-12444,SrCuSF,1.5126,False,60383.31371940797,3.93943137,3.93943137,8.64701502,90.0,90.0,90.0
mp-12509,YZnPO,1.3049,False,88448.50182201395,3.90759216158301,3.90759216158301,30.491285454074795,90.0,90.0,120.0
mp-12668,Tb2SO2,2.9772000000000003,False,3489.244679628426,3.80964158775367,3.80964158775367,6.61388556,90.0,90.0,120.0
mp-12670,Ho2SO2,3.0283,False,3333.393804634848,3.7617444589047935,3.7617444589047935,6.55446067,90.0,90.0,120.0
mp-12671,Er2SO2,3.0733,False,3259.0856335194303,3.738036123615899,3.738036123615899,6.52200321,90.0,90.0,120.0
mp-12904,HoAgTe2,0.8999000000000006,False,419173.39030758815,7.12925411,7.12925411,4.64161863,90.0,90.0,90.0
mp-12954,CuBS2,1.7424999999999995,False,34344.16096569466,4.984760243394115,4.984760243394115,9.035491831725349,90.0,90.0,90.0
mp-12957,O2,0.0,True,869307.1885726663,8.754856,6.220214,4.389828171850124,90.0,115.76698413047656,90.0
mp-13031,MgSe,2.5476,False,14204.630377360634,5.937855388474067,5.937855388474067,5.937855388474067,90.0,90.0,90.0
mp-13038,Dy2C(NO)2,3.9833,False,2220.426988003688,3.7368859103462726,3.7368859103462726,8.201376,90.0,90.0,120.0
mp-13275,NaSrP,1.2357,False,296219.53723601607,7.66479932631214,7.66479932631214,4.48604454,90.0,90.0,120.0
mp-13276,SrLiP,1.3430999999999995,False,242793.161182276,4.371296412853743,4.371296412853743,8.04126415,90.0,90.0,120.0
mp-13277,BaLiP,0.9631000000000004,False,400210.4247408962,4.523617695411071,4.523617695411071,8.75238429,90.0,90.0,120.0
mp-13312,ScTlS2,0.9331000000000004,False,129557.39198304382,3.792497392126931,3.792497392126931,14.94939822,90.0,90.0,120.0
mp-13313,ScTlSe2,0.6146000000000003,False,318534.2000598364,3.967793441523208,3.967793441523208,23.078360715339485,90.0,90.0,120.0
mp-13610,ZnPbF6,1.7555,False,21597.407438069244,5.126887530043264,5.126887530043264,14.436050510243696,90.0,90.0,120.0
mp-13660,Ca4Sb2O,0.9078999999999996,False,282066.5986098061,4.700047629802054,4.700047629802054,16.299760489038935,90.0,90.0,90.0
mp-13694,PrCuO2,2.3609,False,30062.74974692752,3.788307097202936,3.788307097202936,17.01156042325423,90.0,90.0,120.0
mp-13903,ZnSnF6,3.7147,False,910.0738040444672,5.120740767679854,5.120740767679854,13.924412519434885,90.0,90.0,120.0
mp-13907,CdSnF6,3.8568,False,861.0906554180275,5.254960409629441,5.254960409629441,14.850194197282196,90.0,90.0,120.0
mp-13971,Nd2SeO2,2.1511,False,6000.307792603573,4.000934983996496,4.000934983996496,7.03823685,90.0,90.0,120.0
mp-13972,Sm2SeO2,2.1358,False,5760.77743343236,3.937997242734491,3.937997242734491,6.94589621,90.0,90.0,120.0
mp-13974,Ho2SeO2,2.1517000000000004,False,5227.752846947823,3.800517969037033,3.800517969037033,6.75888045,90.0,90.0,120.0
mp-13984,CdPdF6,1.7751,False,85628.0685851161,5.056799392418005,5.056799392418005,14.505292312641645,90.0,90.0,120.0
mp-14070,RbAlO2,3.4902,False,1005.1977397204458,8.021614149030482,8.021614149030482,8.021614149030482,90.0,90.0,90.0
mp-14088,Rb2PdF6,2.2306,False,7150.90077402524,8.487651353192373,8.487651353192373,8.487651353192373,90.0,90.0,90.0
mp-14091,AlAgSe2,1.1351999999999998,False,89730.35346629101,5.975205832709159,5.975205832709159,11.022078117801527,90.0,90.0,90.0
mp-14115,LiRhO2,1.5153,False,319909.78095456463,3.0402293590714398,3.0402293590714398,14.041680872092838,90.0,90.0,120.0
mp-14116,CuRhO2,0.6553000000000004,False,369164.3617237576,3.085909045506548,3.085909045506548,17.065339858815793,90.0,90.0,120.0
mp-14205,K3Cu3As2,1.2741,False,415248.42532602296,5.748374833597323,5.748374833597323,20.450367151360027,90.0,90.0,120.0
mp-14437,RbYO2,3.6087,False,2245.7979116469,3.4813449539310914,3.4813449539310914,19.526692523359472,90.0,90.0,120.0
mp-15724,KNa2Sb,0.6720999999999999,False,515919.4804408981,7.704635599215965,7.704635599215965,7.704635599215965,90.0,90.0,90.0
mp-15781,KLaS2,2.7005,False,11892.913523845104,4.291318621470166,4.291318621470166,21.903887075312923,90.0,90.0,120.0
mp-15782,KPrS2,2.2688,False,20371.180699563607,4.221987066494719,4.221987066494719,22.038850122207176,90.0,90.0,120.0
mp-15783,KSmS2,2.2759,False,15760.30740707217,4.133890772832996,4.133890772832996,21.9801440150981,90.0,90.0,120.0
mp-15784,KGdS2,1.8308,False,57321.152337685366,4.090330012559927,4.090330012559927,21.980620800000096,90.0,90.0,120.0
mp-15786,KHoS2,2.3505000000000003,False,10893.85660469346,4.018132733901642,4.018132733901642,21.91419779829489,90.0,90.0,120.0
mp-15789,LiDyS2,1.9347,False,14715.461795770772,3.89874711079078,3.89874711079078,18.4166710838428,90.0,90.0,120.0
mp-15790,LiHoS2,1.9863000000000004,False,13564.722389233297,3.880466695471308,3.880466695471308,18.402725330869345,90.0,90.0,120.0
mp-15792,LiGdSe2,1.1717,False,171009.53476743092,4.103480529965115,4.103480529965115,19.3883824090159,90.0,90.0,120.0
mp-15793,LiTbSe2,1.5013,False,50319.74117619082,4.071353986267191,4.071353986267191,19.405224285740797,90.0,90.0,120.0
mp-15795,LiDySe2,1.5347999999999995,False,40818.40492388801,4.050913794107377,4.050913794107377,19.37606815814821,90.0,90.0,120.0
mp-15796,LiHoSe2,1.5729000000000002,False,34601.301222424016,4.03559002149952,4.03559002149952,19.330663744768707,90.0,90.0,120.0
mp-15988,Li2CuSb,0.4535,False,489082.7843674417,6.291892799711175,6.291892799711175,6.291892799711175,90.0,90.0,90.0
mp-16032,Pr2TeO2,1.6555999999999995,False,125663.28593072966,4.093107432160551,4.093107432160551,13.03670064443294,90.0,90.0,90.0
mp-16033,Sm2TeO2,1.4893,False,149913.1217768957,4.0050601556600895,4.0050601556600895,12.737964328255678,90.0,90.0,90.0
mp-16035,Gd2TeO2,1.0708000000000002,False,139606.79047043156,3.967244630216253,3.967244630216253,12.602618900490132,90.0,90.0,90.0
mp-16036,Tb2TeO2,1.1715,False,142270.7578090022,3.930731794544568,3.930731794544568,12.496129959723358,90.0,90.0,90.0
mp-16037,Dy2TeO2,1.0886000000000005,False,139962.3558497399,3.9114187935966256,3.9114187935966256,12.436038645543984,90.0,90.0,90.0
mp-16236,KAgSe,0.4821999999999999,False,113369.2887365727,4.51645146,4.51645146,7.6982129,90.0,90.0,90.0
mp-16763,KYTe2,1.2981000000000005,False,391357.8020735469,4.495359508416277,4.495359508416277,24.50106914842708,90.0,90.0,120.0
mp-19178,CoAgO2,1.332,False,429596.6600808842,2.861520861046852,2.861520861046852,12.28569151,90.0,90.0,120.0
mp-19338,LiMoO2,0.0,True,92028.10549071776,2.769270157690112,2.769270157690112,16.049502447135133,90.0,90.0,120.0
mp-19378,CrAgO2,1.6634000000000009,False,153935.58306831704,2.9928262211308585,2.9928262211308585,18.55869299052621,90.0,90.0,120.0
mp-19443,WO3,0.8578,False,132163.21600501973,5.32499735,5.32499735,3.94449455,90.0,90.0,90.0
mp-19717,TePb,0.8063000000000002,False,1309123.012061582,6.541793610119743,6.541793610119743,6.541793610119743,90.0,90.0,90.0
mp-19734,MgPbF6,3.0406,False,2855.025133528147,5.124584485333622,5.124584485333622,14.229468236718324,90.0,90.0,120.0
mp-19833,InAgS2,0.3772999999999999,False,190925.52172315837,5.873910311268413,5.873910311268413,11.395495516130556,90.0,90.0,90.0
mp-19886,ThSnPt,0.6738,False,486801.9163552843,6.798892648031452,6.798892648031452,6.798892648031452,90.0,90.0,90.0
mp-20015,As2PbO6,2.1358,False,11243.670882296748,4.894081558584741,4.894081558584741,5.51676445,90.0,90.0,120.0
mp-20072,LaCuO2,2.5215999999999994,False,21095.35986439203,3.845487605659151,3.845487605659151,16.899811360515404,90.0,90.0,120.0
mp-20098,Ba2PbO4,1.2232000000000005,False,114405.61820532594,4.339554848334276,4.339554848334276,13.36430255816295,90.0,90.0,90.0
mp-20194,CeO2,1.8647,False,452125.09092935,5.467450347765208,5.467450347765208,5.467450347765208,90.0,90.0,90.0
mp-20273,Ca3PbO,0.0,True,417688.9298040887,4.84593119,4.84593119,4.84593119,90.0,90.0,90.0
mp-20289,NaInS2,1.8377,False,43352.512730792936,3.81681116079536,3.81681116079536,19.88759370298708,90.0,90.0,120.0
mp-20374,Ho2C(NO)2,3.9966,False,2178.3620920164253,3.7129136336422977,3.7129136336422977,8.180967,90.0,90.0,120.0
mp-20526,PbS,0.0,True,643838.0038944525,5.96737082,5.97403714,11.27537033,90.0,90.0,90.0
mp-20731,In2HgSe4,0.6337000000000002,False,343079.5997749675,5.937919136147785,5.937919136147785,11.700519674165704,90.0,90.0,90.0
mp-20790,InPS4,2.4754000000000005,False,27061.905255413483,5.727184582782915,5.727184582782915,9.07940786850607,90.0,90.0,90.0
mp-2068,RhF3,0.8625999999999999,False,388663.9315445543,4.876165023637776,4.876165023637776,13.58457076461966,90.0,90.0,120.0
mp-2074,Li3Sb,0.7073999999999998,False,116516.78839858368,6.544922671159856,6.544922671159856,6.544922671159856,90.0,90.0,90.0
mp-2097,SnO,0.4096000000000002,False,129164.756652113,3.81369522,3.81369522,4.8869133,90.0,90.0,90.0
mp-2133,ZnO,0.7227,False,67161.44374989724,3.2373510234543743,3.2373510234543743,5.2220613,90.0,90.0,120.0
mp-2172,AlAs,1.5036999999999998,False,92207.77653150584,5.675801600904916,5.675801600904916,5.675801600904916,90.0,90.0,90.0
mp-2176,ZnTe,1.0732999999999997,False,227475.9718862572,6.1112291203687645,6.1112291203687645,6.1112291203687645,90.0,90.0,90.0
mp-2201,PbSe,0.4256999999999999,False,1048176.3430566724,6.181647072994785,6.181647072994785,6.181647072994785,90.0,90.0,90.0
mp-2251,Li3N,0.984,False,219852.35980756336,3.6097274001943127,3.6097274001943127,3.85463861,90.0,90.0,120.0
mp-2286,Li2Se,2.9746,False,4373.008537554134,5.9520885296812125,5.9520885296812125,5.9520885296812125,90.0,90.0,90.0
mp-2319,P2Os,0.8902999999999999,False,306582.0191149501,2.94564109,5.09488199,5.90694818,90.0,90.0,90.0
mp-2352,Na2O,1.8736,False,82536.5442219703,5.484981735819652,5.484981735819652,5.484981735819652,90.0,90.0,90.0
mp-2400,NaS,1.2348,False,56396.6597938009,4.45154721903268,4.45154721903268,10.17580278,90.0,90.0,120.0
mp-2437,IrF3,1.1410999999999998,False,417049.4665222003,4.958894909568588,4.958894909568588,13.714840021423637,90.0,90.0,120.0
mp-2455,As2Os,0.6646999999999998,False,396754.193384968,3.04327858,5.41927134,6.20976018,90.0,90.0,90.0
mp-2472,SrO,3.2748,False,3088.4042555178235,5.1675693775763,5.1675693775763,5.1675693775763,90.0,90.0,90.0
mp-2490,GaP,1.6039,False,132236.67002498536,5.45162498890976,5.45162498890976,5.45162498890976,90.0,90.0,90.0
mp-2507,GaS,2.0036,False,22353.533292486987,3.5932473575762773,3.5932473575762773,16.01465599,90.0,90.0,120.0
mp-2530,Li2Te,2.4914,False,7401.304700239134,6.513749003287515,6.513749003287515,6.513749003287515,90.0,90.0,90.0
mp-2605,CaO,3.630100000000001,False,2192.9746064204246,4.807111392065781,4.807111392065781,4.807111392065781,90.0,90.0,90.0
mp-2624,AlSb,1.2255000000000005,False,348957.2552222329,6.185042287114787,6.185042287114787,6.185042287114787,90.0,90.0,90.0
mp-2659,LiN3,3.6364,False,3436.092602208679,5.502507520956158,3.2687436554262224,4.840211758322798,90.0,104.78388365541448,90.0
mp-2667,CsAu,1.0233,False,142700.51855477766,4.28285436,4.28285436,4.28285436,90.0,90.0,90.0
mp-2691,CdSe,0.5096,False,151090.54593470172,6.14054239711744,6.14054239711744,6.14054239711744,90.0,90.0,90.0
mp-2693,SnSe,0.1189,False,1278978.714114919,6.020867425510299,6.020867425510299,6.020867425510299,90.0,90.0,90.0
mp-2697,SrO2,2.8495000000000004,False,2234.0352020164614,3.544240324747733,3.544240324747733,6.6845123218523606,90.0,90.0,90.0
mp-2706,SnF4,3.115,False,1338.4932240898218,4.07831350075408,4.07831350075408,7.769306271936078,90.0,90.0,90.0
mp-2758,SrSe,2.2313,False,13824.998866014525,6.279421748401956,6.279421748401956,6.279421748401956,90.0,90.0,90.0
mp-2784,Na2Te,2.0282,False,62561.616050623,7.265958466767905,7.265958466767905,7.265958466767905,90.0,90.0,90.0
mp-2964,NaNO2,0.0,True,15264.983196699051,3.478627283735936,5.358031129591835,5.468455136001609,90.0,90.0,90.0
mp-2991,Cs2UO4,1.8211,False,106853.02762454878,4.39260526472602,4.39260526472602,14.948161682797942,90.0,90.0,90.0
mp-21276,PbS,0.4666999999999994,False,643838.0038944525,4.23050716,5.9824948,8.43319393,90.0,90.0,90.0
mp-21855,VCu3Se4,0.8164000000000002,False,297204.38848687225,5.5751705,5.5751705,5.5751705,90.0,90.0,90.0
mp-22232,TlInSe2,0.7351000000000001,False,307790.9997805156,8.168701471226143,8.168701471226143,6.9284588156446185,90.0,90.0,90.0
mp-22313,Na2PtO2,1.4632999999999998,False,51814.44917324935,3.13998282,4.55414738,9.43159774,90.0,90.0,90.0
mp-22859,HgI,1.6426000000000005,False,642451.1826638625,5.070440821419709,5.070440821419709,11.77167852497402,90.0,90.0,90.0
mp-22867,RbBr,4.192,False,1262.071220406633,6.911900718971193,6.911900718971193,6.911900718971193,90.0,90.0,90.0
mp-22877,VCl2,1.2559999999999998,False,20469.306069576214,3.6387906923434383,3.6387906923434383,6.09125368,90.0,90.0,120.0
mp-22881,CdCl2,3.5244,False,2028.0384719028489,3.8572081188736136,3.8572081188736136,18.317236266772102,90.0,90.0,120.0
mp-22885,XeF2,2.6861999999999995,False,3712.433294379692,4.246657338317982,4.246657338317982,7.091690772966438,90.0,90.0,90.0
mp-22897,HgCl,2.7243000000000004,False,11323.398672808316,4.529054621991,4.529054621991,11.04382662925866,90.0,90.0,90.0
mp-22898,KI,3.8513,False,2155.894006460849,7.084871231449998,7.084871231449998,7.084871231449998,90.0,90.0,90.0
mp-22903,RbI,3.7765,False,2115.494680595158,7.382334730099113,7.382334730099113,7.382334730099113,90.0,90.0,90.0
mp-22909,ZnCl2,4.0533,False,1525.174395348783,5.595122849105167,5.595122849105167,9.883078141753684,90.0,90.0,90.0
mp-22916,NaBr,4.0895,False,1573.034658022245,5.923084507707753,5.923084507707753,5.923084507707753,90.0,90.0,90.0
mp-22922,AgCl,0.9522000000000002,False,9240.430354182648,5.545325993612285,5.545325993612285,5.545325993612285,90.0,90.0,90.0
mp-22925,AgI,1.3674,False,84443.93592516544,6.56419155646163,6.56419155646163,6.56419155646163,90.0,90.0,90.0
mp-22935,CsBrF,2.5062,False,12422.095680645332,4.309097403877068,4.309097403877068,19.945694311527124,90.0,90.0,90.0
mp-22936,Ca2NCl,2.371,False,34103.23371840593,3.657833017936005,3.657833017936005,19.726325322534635,90.0,90.0,120.0
mp-22939,BiClO,2.5681000000000003,False,6690.116967263639,3.8933967,3.8933967,7.49318875,90.0,90.0,90.0
mp-22946,CrClO,0.3688000000000002,False,151755.60955803722,3.19007562,3.86656054,7.952460439999999,90.0,90.0,90.0
